EmpId,ProjectID,DateFrom,DateTo
1001,10,29-08-19,
1002,10,12-12-22,28-05-23
1003,10,08-03-23,15-03-23
1004,10,29-05-20,05-03-21
1005,10,16-09-22,
1006,10,15-08-21,20-11-21
1007,10,25-10-20,26-09-21
1008,10,28-08-19,04-05-20
1009,10,13-06-19,12-01-23
1010,10,12-01-21,18-03-22
1011,10,07-02-22,12-02-23
1012,10,09-11-20,06-06-21
1013,10,13-05-20,
1014,10,31-12-22,13-07-23
1015,10,03-12-18,
1016,10,21-02-20,29-05-21
1017,10,07-09-20,15-12-21
1018,10,19-06-20,08-12-21
1019,10,14-10-22,28-07-23
1020,10,20-06-23,18-07-23
1021,10,09-11-20,17-07-23
1022,10,19-09-22,
1023,10,09-11-18,10-10-21
1024,10,30-12-18,23-06-21
1025,10,11-05-23,15-05-23
1026,10,03-11-22,09-02-23
1027,10,14-06-20,29-05-21
1028,10,15-10-19,01-01-23
1029,10,28-04-20,
1030,10,29-10-19,
1031,10,28-04-21,
1032,10,19-04-22,26-08-22
1033,10,28-03-23,
1034,10,06-05-19,
1035,10,13-10-20,
1036,10,06-07-21,25-11-21
1037,10,24-09-20,02-11-20
1038,10,18-01-23,
1039,10,22-08-19,25-03-22
1040,10,25-07-19,17-12-22
1041,10,11-11-19,10-01-20
1042,10,16-07-22,
1043,10,19-12-22,10-05-23
1044,10,15-09-20,
1045,10,04-10-20,27-02-23
1046,10,23-04-22,03-08-22
1047,10,27-11-21,
1048,10,29-11-19,
1049,10,30-05-19,19-12-20
1050,10,23-11-20,
1051,10,08-04-22,11-01-23
1052,10,25-02-21,04-06-21
1053,10,13-03-19,07-04-21
1054,10,12-02-23,
1055,10,08-09-18,
1056,10,18-11-21,
1057,10,01-07-23,
1058,10,18-04-22,
1059,10,29-04-23,
1060,10,10-10-18,25-12-18
1061,10,20-11-22,
1062,10,18-05-19,14-01-20
1063,10,22-06-21,
1064,10,30-03-22,13-04-22
1065,10,28-08-18,
1066,10,27-12-21,05-01-23
1067,10,14-11-20,
1068,10,01-10-21,
1069,10,13-10-18,28-05-23
1070,10,15-12-18,28-05-22
1071,10,28-03-19,17-10-20
1072,10,27-12-18,
1073,10,11-05-19,
1074,10,19-02-21,24-02-23
1075,10,05-11-22,16-04-23
1076,10,22-03-20,28-09-20
1077,10,02-02-19,
1078,10,24-02-20,16-06-21
1079,10,07-04-21,01-05-22
1080,10,14-11-20,
1081,10,17-01-22,10-08-22
1082,10,02-09-21,27-06-23
1083,10,30-07-23,
1084,10,27-06-23,
1085,10,27-03-22,
1086,10,12-08-22,20-10-22
1087,10,08-07-22,04-08-23
1088,10,15-08-20,23-01-21
1089,10,27-05-23,14-06-23
1090,10,02-01-23,
1091,10,16-11-18,03-04-21
1092,10,12-07-22,
1093,10,16-12-22,
1094,10,08-05-23,
1095,10,07-04-23,
1096,10,15-02-22,19-10-22
1097,10,17-07-23,03-08-23
1098,10,03-05-19,02-06-23
1099,10,25-03-22,22-04-22
1100,10,07-04-20,
1101,10,10-03-21,
1102,10,04-08-19,
1103,10,11-04-21,27-05-23
1104,10,16-06-19,
1105,10,08-10-20,04-12-22
1106,10,18-08-21,
1107,10,16-03-20,
1108,10,24-01-19,
1109,10,11-06-22,25-09-22
1110,10,02-07-22,
1111,10,08-09-19,29-08-20
1112,10,10-07-22,
1113,10,24-04-22,
1114,10,31-03-20,
1115,10,23-03-19,
1116,10,09-03-19,12-07-23
1117,10,21-02-19,06-03-19
1118,10,04-10-19,26-11-22
1119,10,24-11-19,20-12-20
1120,10,17-08-20,
1121,10,16-03-21,
1122,10,16-11-21,26-08-22
1123,10,03-05-22,
1124,10,24-12-19,11-11-22
1125,10,21-10-21,
1126,10,08-09-18,06-03-20
1127,10,26-02-19,
1128,10,21-04-23,
1129,10,19-09-19,23-10-21
1130,10,23-12-20,
1131,10,29-03-19,
1132,10,15-05-21,03-05-23
1133,10,14-03-22,02-10-22
1134,10,06-12-21,08-01-22
1135,10,27-10-21,
1136,10,01-04-23,
1137,10,29-05-19,
1138,10,12-07-19,12-07-22
1139,10,10-08-18,21-02-22
1140,10,29-09-21,
1141,10,05-08-21,
1142,10,02-08-23,
1143,10,02-09-18,28-07-21
1144,10,13-10-19,
1145,10,24-09-20,
1146,10,06-08-23,
1147,10,11-06-19,27-02-22
1148,10,14-02-19,
1149,10,17-03-22,
1150,10,05-08-20,
1151,10,23-08-22,
1152,10,12-01-23,
1153,10,14-04-20,10-09-21
1154,10,27-09-21,05-02-23
1155,10,17-11-18,12-03-20
1156,10,22-07-19,28-02-23
1157,10,10-02-19,
1158,10,22-11-18,19-07-20
1159,10,23-04-23,
1160,10,26-12-22,23-05-23
1161,10,14-06-20,
1162,10,29-03-22,20-05-23
1163,10,18-12-22,
1164,10,21-03-19,
1165,10,08-02-21,
1166,10,06-06-22,
1167,10,01-11-21,
1168,10,19-01-23,
1169,10,30-07-20,
1170,10,16-07-23,
1171,10,16-06-22,
1172,10,13-06-21,27-05-22
1173,10,14-11-20,01-11-21
1174,10,16-06-20,13-03-23
1175,10,20-12-18,24-12-20
1176,10,29-10-22,
1177,10,20-07-20,
1178,10,03-10-21,19-12-21
1179,10,16-07-22,
1180,10,30-06-20,
1181,10,13-06-21,
1182,10,29-12-20,24-10-22
1183,10,03-02-22,
1184,10,10-01-22,11-05-23
1185,10,13-12-18,
1186,10,03-03-21,
1187,10,04-07-21,
1188,10,06-02-20,21-07-21
1189,10,28-06-20,11-07-22
1190,10,22-12-20,20-11-21
1191,10,24-11-19,
1192,10,23-09-22,
1193,10,06-02-20,23-01-22
1194,10,14-01-19,06-08-21
1195,10,25-06-19,15-05-22
1196,10,09-03-19,
1197,10,13-06-20,
1198,10,22-01-19,
1199,10,12-12-20,
1200,10,27-04-22,
